backbone,epoch,tau_mean,tau_min,tau_max,L_magnitude,L_progress
Uni-Mol,68,-0.029920,-0.051500,-0.008340,25.8329,-167.029
Uni-Mol,69,-0.043159,-0.064044,-0.022274,22.7785,-163.509
Uni-Mol,70,-0.047647,-0.067506,-0.027788,25.7655,-159.578
Uni-Mol,71,-0.044238,-0.065352,-0.023124,26.9593,-163.502
Uni-Mol,72,-0.045461,-0.066512,-0.024409,24.2273,-163.237
Uni-Mol,73,-0.050991,-0.071543,-0.030440,23.1073,-167.365
Uni-Mol,74,-0.047472,-0.068425,-0.026519,25.3552,-158.325
Uni-Mol,75,-0.041203,-0.061727,-0.020679,22.9786,-148.097
Uni-Mol,76,-0.039654,-0.060169,-0.019140,25.3494,-161.914
Uni-Mol,77,-0.039876,-0.060566,-0.019186,25.7315,-146.957
Uni-Mol,78,-0.040641,-0.061353,-0.019928,23.1839,-145.435
Uni-Mol,79,-0.041384,-0.062064,-0.020704,22.7739,-153.92
Uni-Mol,80,-0.041487,-0.062181,-0.020792,22.3022,-142.986
Uni-Mol,81,-0.034324,-0.053903,-0.014745,22.2649,-137.296
Uni-Mol,82,-0.045521,-0.067123,-0.023919,22.2577,-140.491
Uni-Mol,83,-0.073281,-0.098317,-0.048245,21.8685,-150.593
Uni-Mol,84,-0.060197,-0.086157,-0.034237,21.5117,-153.737
Uni-Mol,85,-0.062462,-0.089223,-0.035701,22.538,-144.172
Uni-Mol,86,-0.050143,-0.073087,-0.027199,22.0411,-140.542
Uni-Mol,87,-0.052650,-0.075670,-0.029629,20.0351,-133.999
Uni-Mol,88,-0.043767,-0.066540,-0.020995,21.2994,-130.082
Uni-Mol,89,-0.026746,-0.047455,-0.006036,22.7517,-130.392
Uni-Mol,90,-0.034066,-0.055808,-0.012325,20.5523,-135.469
Uni-Mol,91,-0.044468,-0.066255,-0.022681,20.3817,-140.848
Uni-Mol,92,-0.045934,-0.067866,-0.024002,20.2551,-135.959
Uni-Mol,93,-0.043375,-0.066376,-0.020374,19.6398,-132.04
Uni-Mol,94,-0.044302,-0.067071,-0.021532,19.619,-125.65
Uni-Mol,95,-0.046258,-0.068256,-0.024261,19.5797,-126.44
Uni-Mol,96,-0.044283,-0.065920,-0.022645,21.0263,-140.044
Uni-Mol,97,-0.045395,-0.066872,-0.023918,18.4776,-125.692
Uni-Mol,98,-0.046226,-0.067560,-0.024892,19.1713,-132.47
Uni-Mol,99,-0.046632,-0.067951,-0.025312,18.0578,-122.553
Uni-Mol,100,-0.046460,-0.067793,-0.025128,20.1852,-129.637
Uni-Mol,101,-0.055010,-0.078985,-0.031034,17.902,-123.217
Uni-Mol,102,-0.057416,-0.081179,-0.033652,19.2038,-127.194
Uni-Mol,103,-0.059283,-0.083701,-0.034865,18.5263,-127.606
Uni-Mol,104,-0.062424,-0.087321,-0.037528,18.9017,-134.296
Uni-Mol,105,-0.069236,-0.093622,-0.044849,17.4509,-118.221
Uni-Mol,106,-0.044653,-0.065616,-0.023689,19.5047,-117.736
Uni-Mol,107,-0.065426,-0.090218,-0.040633,19.8282,-128.077
Uni-Mol,108,-0.053614,-0.076668,-0.030560,17.5069,-113.035
Uni-Mol,109,-0.035854,-0.057869,-0.013840,18.955,-120.484
Uni-Mol,110,-0.037035,-0.058342,-0.015728,19.0839,-122.674
Uni-Mol,111,-0.038729,-0.059434,-0.018023,18.6805,-120.344
Uni-Mol,112,-0.043071,-0.063541,-0.022601,19.5238,-112.147
Uni-Mol,113,-0.042995,-0.063686,-0.022304,18.6837,-115.081
Uni-Mol,114,-0.038119,-0.058156,-0.018082,17.6712,-117.234
Uni-Mol,115,-0.037404,-0.057444,-0.017364,17.0265,-116.848
Uni-Mol,116,-0.039799,-0.060058,-0.019539,16.3275,-115.44
Uni-Mol,117,-0.042724,-0.063081,-0.022368,17.5118,-119.511
Uni-Mol,118,-0.043651,-0.063992,-0.023310,16.6936,-114.115
Uni-Mol,119,-0.043923,-0.064289,-0.023556,16.2156,-113.496
Uni-Mol,120,-0.044040,-0.064406,-0.023675,17.2058,-110.508
Uni-Mol,121,-0.065098,-0.085264,-0.044932,15.894,-110.239
Uni-Mol,122,-0.067340,-0.088551,-0.046129,15.4229,-111.074
Uni-Mol,123,-0.072372,-0.095914,-0.048830,15.787,-113.442
Uni-Mol,124,-0.046305,-0.068163,-0.024447,16.0189,-104.183
Uni-Mol,125,-0.053431,-0.076644,-0.030218,14.4095,-107.655
Uni-Mol,126,-0.064420,-0.090413,-0.038427,15.1858,-104.611
Uni-Mol,127,-0.047898,-0.072644,-0.023152,15.7234,-106.544
Uni-Mol,128,-0.053793,-0.075429,-0.032156,15.079,-106.566
Uni-Mol,129,-0.053878,-0.075760,-0.031995,13.29,-98.7551
Uni-Mol,130,-0.048519,-0.070256,-0.026782,15.4862,-99.524
Uni-Mol,131,-0.053114,-0.075700,-0.030528,15.1809,-106.815
Uni-Mol,132,-0.056582,-0.079981,-0.033183,15.6625,-100.282
Uni-Mol,133,-0.052516,-0.075554,-0.029478,14.2961,-98.5592
Uni-Mol,134,-0.056025,-0.080526,-0.031524,14.8622,-100.853
Uni-Mol,135,-0.056265,-0.080693,-0.031836,14.7913,-103.271
Uni-Mol,136,-0.057755,-0.082415,-0.033094,14.2075,-97.2564
Uni-Mol,137,-0.056404,-0.081179,-0.031630,13.7628,-98.2884
Uni-Mol,138,-0.056795,-0.081497,-0.032092,13.9063,-93.4921
Uni-Mol,139,-0.056251,-0.080879,-0.031622,14.1952,-95.0003
Uni-Mol,140,-0.056225,-0.080869,-0.031581,13.3378,-97.5456
Uni-Mol,141,-0.060478,-0.086059,-0.034897,13.6635,-99.7049
Uni-Mol,142,-0.074764,-0.101006,-0.048522,13.991,-101.3
Uni-Mol,143,-0.065973,-0.093625,-0.038321,14.125,-100.399
Uni-Mol,144,-0.054980,-0.079874,-0.030087,13.7383,-94.632
Uni-Mol,145,-0.051274,-0.077764,-0.024783,13.8787,-101.271
Uni-Mol,146,-0.046553,-0.072137,-0.020969,13.1628,-94.8874
Uni-Mol,147,-0.049940,-0.075763,-0.024116,12.4701,-91.0772
Uni-Mol,148,-0.041918,-0.067130,-0.016706,12.8822,-94.5926
Uni-Mol,149,-0.053418,-0.078878,-0.027958,12.9309,-94.08
Uni-Mol,150,-0.038497,-0.064577,-0.012417,13.2012,-88.9745
Uni-Mol,151,-0.040662,-0.066460,-0.014865,13.0097,-89.096
Uni-Mol,152,-0.041688,-0.067596,-0.015781,13.8315,-96.6544
Uni-Mol,153,-0.046856,-0.073304,-0.020408,13.2458,-94.5612
Uni-Mol,154,-0.052163,-0.079576,-0.024750,13.215,-89.7912
Uni-Mol,155,-0.051445,-0.079630,-0.023260,13.2403,-92.1128
Uni-Mol,156,-0.051154,-0.079535,-0.022773,12.8094,-91.033
Uni-Mol,157,-0.050936,-0.079083,-0.022789,12.9457,-96.9056
Uni-Mol,158,-0.052062,-0.080130,-0.023995,13.345,-96.316
Uni-Mol,159,-0.052295,-0.080320,-0.024271,12.5806,-94.246
Uni-Mol,160,-0.052325,-0.080344,-0.024306,13.4277,-95.3371
Uni-Mol,161,-0.046646,-0.073205,-0.020086,13.2727,-97.5903
Uni-Mol,162,-0.046152,-0.070393,-0.021911,12.0913,-84.5758
Uni-Mol,163,-0.046547,-0.072285,-0.020809,13.0911,-86.9856
Uni-Mol,164,-0.063799,-0.089318,-0.038280,13.5403,-94.0923
Uni-Mol,165,-0.049523,-0.074884,-0.024162,12.5115,-91.3976
Uni-Mol,166,-0.060518,-0.089870,-0.031166,13.0783,-92.6636
Uni-Mol,167,-0.055145,-0.081525,-0.028765,13.6456,-88.2216
Uni-Mol,168,-0.058534,-0.084775,-0.032292,13.0976,-89.8953
Uni-Mol,169,-0.049072,-0.073654,-0.024491,12.7668,-93.0898
Uni-Mol,170,-0.051929,-0.076211,-0.027647,12.3874,-89.012
Uni-Mol,171,-0.052601,-0.076216,-0.028987,12.6906,-90.2539
Uni-Mol,172,-0.046867,-0.071608,-0.022127,12.4238,-89.6095
Uni-Mol,173,-0.044584,-0.069365,-0.019802,12.6462,-88.0609
Uni-Mol,174,-0.054360,-0.079377,-0.029343,12.8313,-89.7175
Uni-Mol,175,-0.053495,-0.079083,-0.027907,12.9483,-91.707
Uni-Mol,176,-0.053985,-0.079484,-0.028485,12.401,-84.388
Uni-Mol,177,-0.052693,-0.077885,-0.027500,12.4007,-87.1539
Uni-Mol,178,-0.053699,-0.079180,-0.028219,11.8173,-89.9714
Uni-Mol,179,-0.054139,-0.079562,-0.028716,11.9426,-90.531
Uni-Mol,180,-0.054156,-0.079583,-0.028729,12.2816,-93.5028
Uni-Mol,181,-0.070827,-0.098966,-0.042688,12.4897,-89.6979
Uni-Mol,182,-0.074970,-0.104063,-0.045877,12.0385,-89.2275
Uni-Mol,183,-0.074242,-0.102486,-0.045998,12.5675,-92.7776
Uni-Mol,184,-0.073162,-0.103540,-0.042784,12.3703,-91.0322
Uni-Mol,185,-0.073154,-0.102193,-0.044114,12.1398,-90.5825
Uni-Mol,186,-0.068811,-0.098751,-0.038870,11.8746,-90.5497
Uni-Mol,187,-0.076291,-0.106967,-0.045615,12.0721,-87.7026
Uni-Mol,188,-0.062063,-0.091660,-0.032465,12.0562,-92.2709
Uni-Mol,189,-0.064850,-0.094181,-0.035519,12.0759,-93.7471
Uni-Mol,190,-0.071261,-0.100811,-0.041712,11.7968,-85.1886
Uni-Mol,191,-0.057790,-0.086074,-0.029506,12.5649,-90.0502
Uni-Mol,192,-0.056036,-0.083150,-0.028922,12.1797,-87.6237
Uni-Mol,193,-0.054852,-0.081523,-0.028181,11.9187,-94.065
Uni-Mol,194,-0.054436,-0.081597,-0.027276,12.1841,-91.8057
Uni-Mol,195,-0.057130,-0.084099,-0.030160,11.7997,-89.7828
Uni-Mol,196,-0.054203,-0.081315,-0.027090,11.8642,-89.8073
Uni-Mol,197,-0.056417,-0.083455,-0.029379,11.9418,-89.1128
Uni-Mol,198,-0.057451,-0.084453,-0.030449,11.4012,-88.4211
Uni-Mol,199,-0.057543,-0.084524,-0.030561,11.5355,-86.83
Uni-Mol,200,-0.057773,-0.084764,-0.030783,10.9078,-82.0801
Uni-Mol,201,-0.056666,-0.085081,-0.028252,11.078,-81.8317
Uni-Mol,202,-0.056079,-0.086664,-0.025493,11.679,-90.5316
Uni-Mol,203,-0.073330,-0.106868,-0.039792,11.3191,-87.6152
Uni-Mol,204,-0.069520,-0.103375,-0.035665,11.0443,-92.025
Uni-Mol,205,-0.078865,-0.113419,-0.044312,11.799,-89.6989
Uni-Mol,206,-0.091979,-0.126955,-0.057003,11.1645,-89.7651
Uni-Mol,207,-0.084414,-0.124756,-0.044071,11.6207,-86.8564
Uni-Mol,208,-0.086901,-0.128179,-0.045624,11.424,-83.2433
Uni-Mol,209,-0.099159,-0.145976,-0.052343,11.3501,-85.8565
Uni-Mol,210,-0.099950,-0.146413,-0.053487,11.7732,-86.3599
Uni-Mol,211,-0.100342,-0.144828,-0.055857,11.9743,-88.7854
Uni-Mol,212,-0.090453,-0.133130,-0.047777,11.616,-87.2885
Uni-Mol,213,-0.084702,-0.126063,-0.043342,11.523,-84.7476
Uni-Mol,214,-0.083546,-0.125351,-0.041741,10.7091,-80.5299
Uni-Mol,215,-0.077244,-0.119153,-0.035334,11.056,-81.475
Uni-Mol,216,-0.077165,-0.118760,-0.035571,11.0818,-86.9762
Uni-Mol,217,-0.075809,-0.117188,-0.034430,10.8434,-84.714
Uni-Mol,218,-0.075766,-0.116997,-0.034534,11.9553,-85.9437
Uni-Mol,219,-0.075522,-0.116698,-0.034346,11.228,-87.2559
Uni-Mol,220,-0.075555,-0.116736,-0.034375,11.2978,-83.7602
Uni-Mol,221,-0.077411,-0.115725,-0.039096,11.2223,-84.8969
